input_text,target_text
John put under the bathtub.,John hid under the bathtub.  
Anson demonized up the Khyber,Anson demonized his enemies up the Khyber.  
John perfectly learned French immediately.,John immediately learned French perfectly.  
Wash you!,Clean yourself!  
Some my jobs are in jeopardy.,Some of my jobs are in jeopardy.  
It's probable in general that he understands what's going on.,"It is probable, in general, that he understands what is happening.  "
"The sooner you call, the more carefully I know a man that will word the letter.","The sooner you call, the more carefully I will know how to word the letter.  "
"I know which book Max read, and which book Oscar hasn't done so.","I know which book Max read, and which book Oscar hasn’t read.  "
"This is the problem that you'll beat the competition more easily, the sooner you solve.",This is the problem that you will beat the competition more easily by solving.  
"He seems to become more corrupt, as any senator talks to more lobbyists.",He seems to become more corrupt as any senator talks to more lobbyists.  
John wrote books.,John wrote books.  
"Drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are difficult to rescue.  "
John would be preferred to be the candidate.,John would be preferred as the candidate.  
"I demand that the more John eat, the more he pays.","I demand that the more John eats, the more he pays.  "
Everyone hopes everyone to sleep.,Everyone hopes everyone else sleeps.  
John fed the baby rice up.,John fed the baby rice.  
"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.","The more John gets upset by the stories, the more they seem to show up in the evening news.  "
I would like to could swim,I would like to be able to swim.  
The problem's perception is quite thorough.,The perception of the problem is quite thorough.  
Carla slid at the book.,Carla slid the book across the table.  
I squeaked the door.,I squeaked the door open.  
The building is tall and tall.,The building is extremely tall.  
"You eat the more, the more you want.","The more you eat, the more you want.  "
Mary persuaded that he should rest Bill.,Mary persuaded Bill that he should rest.  
I noticed kissing Mary.,I noticed someone kissing Mary.  
"I remember John being discussed, but you recall Sally being.","I remember John being discussed, but you recall Sally being discussed.  "
Runs Mary the marathon?,Does Mary run the marathon?  
The fact that no candidate was elected shows that he was inadequate.,The fact that no candidate was elected shows that he was inadequate.  
"Immediately, John probably will clearly learn French perfectly.","Immediately, John will probably clearly learn French perfectly.  "
"Clearly, John immediately will probably learn French perfectly.","Clearly, John will probably learn French perfectly immediately.  "
Bill floated into the cave for hours.,Bill floated in the cave for hours.  
I thought he liked myself,I thought he liked me.  
Janet broke Bill on the finger.,Janet broke Bill’s finger.  
"Ron wanted to be wearing a tuxedo to the party, but Caspar didn't know whether to be.","Ron wanted to be wearing a tuxedo to the party, but Caspar didn’t know whether he should be wearing one.  "
"I will, if I can work on it.",I will work on it if I can.  
"We gave any senator enough opportunity and, sure enough, he succumbed to corruption.","We gave any senator enough opportunity, and sure enough, he succumbed to corruption.  "
Sees he I often Mary?,Does he often see Mary?  
John tries him to win.,John tries to win.  
Ted cried to sleep.,Ted cried himself to sleep.  
Aunt Mary made the boys all a good mother.,Aunt Mary made all the boys appreciate a good mother.  
"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",Which folks up at corporate headquarters do you think will be satisfied the sooner you solve this problem?  
The kettle bubbled water up.,The kettle bubbled over with water.  
Give the bottle to the baby awake.,Give the bottle to the baby while awake.  
How do you wonder which problem to solve?,How do you wonder which problem to solve?  
The men arrived all.,All the men arrived.  
Did the child be in the school?,Was the child at school?  
Did Calvin his homework?,Did Calvin do his homework?  
I consider there a man in that garden.,I consider there to be a man in that garden.  
John tries to meet not Mary.,John tries not to meet Mary.  
"The more he reads, the more books I wonder to whom he will give.","The more he reads, the more I wonder to whom he will give the books.  "
Rich we have impeccable taste.,"We, being wealthy, have impeccable taste.  "
This flyer and that flyer differ apart.,This flyer and that flyer differ significantly.  
The men were struck by the idea as nonsense.,The men were struck by the idea as nonsensical.  
We yelled ourselves.,We yelled at each other.  
Spray the wall with all the paint.,Spray the wall with all the paint.  
The ball wriggled itself loose.,The ball wriggled itself loose.  
I only eat fish drunk raw.,I only eat raw fish when I am drunk.  
What does John wonder Mary bought?,What does John wonder Mary buy?  
"When Bill smokes, much more does Susan hate him.","When Bill smokes, Susan hates him even more.  "
The boys were made a good mother.,The boys were made to appreciate a good mother.  
What the water did to the bottle was fill it.,What the water did to the bottle was fill it.  
"Ron wanted to wear a tuxedo to the party, but Caspar couldn't decide whether to.","Ron wanted to wear a tuxedo to the party, but Caspar couldn’t decide whether to wear one.  "
John likes not Mary.,John does not like Mary.  
Mary wonders that Bill will come.,Mary wonders if Bill will come.  
The socks are ready for for you to put on to be planned.,The socks are ready for you to put on.  
I wonder who what bought?,I wonder who bought what.  
"Sally explained the attempt to arrest Holly, but only after I had denied the decision to.","Sally explained the attempt to arrest Holly, but only after I had denied the decision to do so.  "
Give the baby the bottle awake.,Give the baby the bottle while awake.  
"I don't plan to lock the door, no matter how fancy this hotel.","I don’t plan to lock the door, no matter how fancy this hotel is.  "
