input_text,target_text
john put under the bathtub.,John hid under the bathtub.  
anson demonized up the khyber,Anson demonized his enemies up the Khyber.  
john perfectly learned french immediately.,John immediately learned French perfectly.  
wash you!,Clean yourself!  
some my jobs are in jeopardy.,Some of my jobs are in jeopardy.  
it's probable in general that he understands what's going on.,"It is probable, in general, that he understands what is happening.  "
"the sooner you call, the more carefully i know a man that will word the letter.","The sooner you call, the more carefully I will know how to word the letter.  "
"i know which book max read, and which book oscar hasn't done so.","I know which book Max read, and which book Oscar hasn’t read.  "
"this is the problem that you'll beat the competition more easily, the sooner you solve.",This is the problem that you will beat the competition more easily by solving.  
"he seems to become more corrupt, as any senator talks to more lobbyists.",He seems to become more corrupt as any senator talks to more lobbyists.  
john wrote books.,John wrote books.  
"drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are difficult to rescue.  "
john would be preferred to be the candidate.,John would be preferred as the candidate.  
"i demand that the more john eat, the more he pays.","I demand that the more John eats, the more he pays.  "
everyone hopes everyone to sleep.,Everyone hopes everyone else sleeps.  
john fed the baby rice up.,John fed the baby rice.  
"stories about himself seem to show up more on the evening news, the more that john gets upset by them.","The more John gets upset by the stories, the more they seem to show up in the evening news.  "
i would like to could swim,I would like to be able to swim.  
the problem's perception is quite thorough.,The perception of the problem is quite thorough.  
carla slid at the book.,Carla slid the book across the table.  
i squeaked the door.,I squeaked the door open.  
the building is tall and tall.,The building is extremely tall.  
"you eat the more, the more you want.","The more you eat, the more you want.  "
mary persuaded that he should rest bill.,Mary persuaded Bill that he should rest.  
i noticed kissing mary.,I noticed someone kissing Mary.  
"i remember john being discussed, but you recall sally being.","I remember John being discussed, but you recall Sally being discussed.  "
runs mary the marathon?,Does Mary run the marathon?  
the fact that no candidate was elected shows that he was inadequate.,The fact that no candidate was elected shows that he was inadequate.  
"immediately, john probably will clearly learn french perfectly.","Immediately, John will probably clearly learn French perfectly.  "
"clearly, john immediately will probably learn french perfectly.","Clearly, John will probably learn French perfectly immediately.  "
bill floated into the cave for hours.,Bill floated in the cave for hours.  
i thought he liked myself,I thought he liked me.  
janet broke bill on the finger.,Janet broke Bill’s finger.  
"ron wanted to be wearing a tuxedo to the party, but caspar didn't know whether to be.","Ron wanted to be wearing a tuxedo to the party, but Caspar didn’t know whether he should be wearing one.  "
"i will, if i can work on it.",I will work on it if I can.  
"we gave any senator enough opportunity and, sure enough, he succumbed to corruption.","We gave any senator enough opportunity, and sure enough, he succumbed to corruption.  "
sees he i often mary?,Does he often see Mary?  
john tries him to win.,John tries to win.  
ted cried to sleep.,Ted cried himself to sleep.  
aunt mary made the boys all a good mother.,Aunt Mary made all the boys appreciate a good mother.  
"which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",Which folks up at corporate headquarters do you think will be satisfied the sooner you solve this problem?  
the kettle bubbled water up.,The kettle bubbled over with water.  
give the bottle to the baby awake.,Give the bottle to the baby while awake.  
how do you wonder which problem to solve?,How do you wonder which problem to solve?  
the men arrived all.,All the men arrived.  
did the child be in the school?,Was the child at school?  
did calvin his homework?,Did Calvin do his homework?  
i consider there a man in that garden.,I consider there to be a man in that garden.  
john tries to meet not mary.,John tries not to meet Mary.  
"the more he reads, the more books i wonder to whom he will give.","The more he reads, the more I wonder to whom he will give the books.  "
rich we have impeccable taste.,"We, being wealthy, have impeccable taste.  "
this flyer and that flyer differ apart.,This flyer and that flyer differ significantly.  
the men were struck by the idea as nonsense.,The men were struck by the idea as nonsensical.  
we yelled ourselves.,We yelled at each other.  
spray the wall with all the paint.,Spray the wall with all the paint.  
the ball wriggled itself loose.,The ball wriggled itself loose.  
i only eat fish drunk raw.,I only eat raw fish when I am drunk.  
what does john wonder mary bought?,What does John wonder Mary buy?  
"when bill smokes, much more does susan hate him.","When Bill smokes, Susan hates him even more.  "
the boys were made a good mother.,The boys were made to appreciate a good mother.  
what the water did to the bottle was fill it.,What the water did to the bottle was fill it.  
"ron wanted to wear a tuxedo to the party, but caspar couldn't decide whether to.","Ron wanted to wear a tuxedo to the party, but Caspar couldn’t decide whether to wear one.  "
john likes not mary.,John does not like Mary.  
mary wonders that bill will come.,Mary wonders if Bill will come.  
the socks are ready for for you to put on to be planned.,The socks are ready for you to put on.  
i wonder who what bought?,I wonder who bought what.  
"sally explained the attempt to arrest holly, but only after i had denied the decision to.","Sally explained the attempt to arrest Holly, but only after I had denied the decision to do so.  "
give the baby the bottle awake.,Give the baby the bottle while awake.  
"i don't plan to lock the door, no matter how fancy this hotel.","I don’t plan to lock the door, no matter how fancy this hotel is.  "
john sounded very.,John sounded very confident.  
kim put in the box.,Kim placed it in the box.  
