input_text,target_text
"As you eat the most, you want the least.","As you eat more, you desire less.  "
"The more you would want, the less you would eat.","The more you desire, the less you eat.  "
"I demand that the more John eat, the more he pays.","I demand that the more John eats, the more he pays.  "
"The more does Bill smoke, the more Susan hates him.","The more Bill smokes, the more Susan hates him.  "
Who does John visit Sally because he likes?,Whom does John visit because he likes Sally?  
Mickey looked up it.,Mickey looked it up.  
The box contained the ball from the tree.,The box contained the ball that fell from the tree.  
The tube was escaped by gas.,Gas escaped from the tube.  
What the water did to the bottle was fill it.,What the water did to the bottle was fill it.  
What the water did to the whole bottle was fill it.,What the water did to the entire bottle was fill it.  
Mary beautifully plays the violin.,Mary plays the violin beautifully.  
Sue gave to Bill a book.,Sue gave Bill a book.  
They represented seriously to the dean Mary as a genuine linguist.,They seriously represented Mary to the dean as a genuine linguist.  
Us love they.,We love them.  
Mary intended John to go abroad.,Mary intended for John to go abroad.  
"We wanted to invite someone, but we couldn't decide who to.",We wanted to invite someone but couldn’t decide who.  
Mary came to be introduced by the bartender and I also came to be.,"Mary was introduced by the bartender, and I was also introduced.  "
"I know which book JosÃ© didn't read for class, and which book Lilly did it for him.",I know which book José didn’t read for class and which one Lilly read for him.  
"This is the book which Bob reviewed, and this is the one which Fred won't do it.","This is the book Bob reviewed, and this is the one Fred won’t review.  "
"I know which book Mag read, and which book Bob read my report that you hadn't.",I know which book Mag read and which book Bob referred to in his report that you hadn’t.  
The problem perceives easily.,The problem is easily perceived.  
Which report that John was incompetent did he submit?,Which report did John submit that claimed he was incompetent?  
A proof that the claim had been made was given that John had lied.,Proof was provided that the claim had been made that John had lied.  
The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as absurd.  
I want that Bill left to remain a secret.,I want Bill’s departure to remain a secret.  
I know a man who Tom drives as drives.,I know a man who drives like Tom.  
"Drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are difficult to rescue.  "
Himself is understood by Rutherford.,Rutherford is understood by himself.  
The proof this set is recursive is difficult.,Proving this set is recursive is challenging.  
The madrigals which Henry plays the lute and sings sound lousy.,"The madrigals, which Henry plays the lute and sings, sound terrible.  "
Which boy's did we elect guardian's employer president?,Whose guardian’s employer did we elect president?  
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,"I live where Route 150 crosses the Hudson River, and my dad lives there too.  "
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,Word got out about a plot to negotiate an honourable end to the Vietnam War.  
Which hat did Mike quip that she never wore?,Which hat did Mike joke that she never wore?  
Which girl did Mike quip never wore this hat?,Which girl did Mike joke never wore this hat?  
I won't have some money.,I don’t have any money.  
Here's a knife with which for you to cut up the onions.,Here’s a knife for you to use to cut the onions.  
"The younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall, and the older one was definitely blond.  "
The socks are ready for for you to put on to be planned.,The socks are ready for you to put on.  
My mother is easy to please my father and.,"My mother is easy to please, and so is my father.  "
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",That the police spoke to the janitor about the robbery yesterday is terrible.  
"Every student, and he wears socks, is a swinger.",Every student who wears socks is a swinger.  
I can't remember the name of somebody who had misgivings.,I can’t remember the name of someone who had misgivings.  
"No writer, and no playwright, meets in Vienna.",No writer or playwright meets in Vienna.  
"No writer, nor any playwright, meets in Vienna.",No writer nor any playwright meets in Vienna.  
Sam gave the ball out of the basket.,Sam took the ball out of the basket.  
Sam offered the ball out of the basket.,Sam offered the ball from the basket.  
No one can forgive that comment to you.,No one can forgive you for that comment.  
I lent the book partway to Tony.,I lent the book to Tony partway.  
The farmer dumped the cart with apples.,The farmer dumped the cart full of apples.  
Janet broke Bill on the finger.,Janet broke Bill’s finger.  
Sharon came the room.,Sharon entered the room.  
Brian threw the fence with the stick.,Brian threw the stick over the fence.  
They praised the dedication in the volunteers.,They praised the dedication shown by the volunteers.  
Paperback books lift onto the table easily.,Paperback books lift onto the table with ease.  
The books lifted onto the table.,The books were lifted onto the table.  
Jessica crammed boxes at the truck.,Jessica loaded boxes into the truck.  
Lora buttered at the toast.,Lora spread butter on the toast.  
