word1	relation	word2	gloss1	gloss2
cannibalise%2:34:00::	agent	cannibal%1:18:00::	eat human flesh	a person who eats human flesh
cannibalize%2:34:00::	agent	cannibal%1:18:00::	eat human flesh	a person who eats human flesh
court-martial%2:41:01::	agent	court-martial%1:14:00::	subject to trial by court-martial	a military court to try members of the a...
equal%2:42:01::	agent	equal%1:18:00::	"be equal to in quality or ability; ""Noth..."	a person who is of equal standing with a...
equate%2:31:00::	agent	equal%1:18:00::	"consider or describe as similar, equal, ..."	a person who is of equal standing with a...
equate%2:30:00::	agent	equal%1:18:00::	"make equal, uniform, corresponding, or m..."	a person who is of equal standing with a...
general%2:32:00::	agent	general%1:18:00::	"command as a general; ""We are generaled ..."	a general officer of the highest rank
pal%2:41:00::	agent	pal%1:18:00::	become friends; act friendly towards	a close friend who accompanies his buddi...
rival%2:33:00::	agent	rival%1:18:00::	"be the rival of, be in competition with;..."	"the contestant you hope to defeat; ""he h..."
vandalise%2:35:00::	agent	vandal%1:18:00::	"destroy wantonly, as through acts of van..."	someone who willfully destroys or deface...
vandalize%2:35:00::	agent	vandal%1:18:00::	"destroy wantonly, as through acts of van..."	someone who willfully destroys or deface...
metal%2:35:00::	material	metal%1:27:01::	cover with metal	a mixture containing two or more metalli...
metal%2:35:00::	material	metal%1:27:00::	cover with metal	any of several chemical elements that ar...
opalize%2:30:01::	material	opal%1:27:00::	make opalescent	a translucent mineral consisting of hydr...
opalize%2:30:00::	material	opal%1:27:00::	"replace or convert into opal; ""opalized ..."	a translucent mineral consisting of hydr...
victual%2:40:02::	material	victual%1:13:00::	"supply with food; ""The population was vi..."	any substance that can be used as food
victual%2:40:00::	material	victual%1:13:00::	"lay in provisions; ""The vessel victualle..."	any substance that can be used as food
victual%2:34:00::	material	victual%1:13:00::	take in nourishment	any substance that can be used as food
accrue%2:40:10::	event	accrual%1:04:00::	"come into the possession of; ""The house ..."	the act of accumulating
accrue%2:30:00::	event	accrual%1:04:00::	"grow by addition; ""The interest accrues""..."	the act of accumulating
accuse%2:32:01::	event	accusal%1:10:00::	"blame for, make a claim of wrongdoing or..."	a formal charge of wrongdoing brought ag...
accuse%2:32:00::	event	accusal%1:10:00::	bring an accusation against; level a cha...	a formal charge of wrongdoing brought ag...
appeal%2:41:04::	event	appeal%1:04:00::	"challenge (a decision); ""She appealed th..."	(law) a legal proceeding in which the ap...
appeal%2:41:00::	event	appeal%1:04:00::	take a court case to a higher court for ...	(law) a legal proceeding in which the ap...
appeal%2:32:00::	event	appeal%1:10:00::	request earnestly (something from somebo...	"earnest or urgent request; ""an entreaty ..."
appraise%2:31:01::	event	appraisal%1:09:00::	"evaluate or estimate the nature, quality..."	the classification of someone or somethi...
apprise%2:32:00::	event	apprisal%1:10:00::	"inform (somebody) of something; ""I advis..."	informing by words
approbate%2:32:00::	event	approval%1:26:00::	approve or sanction officially	"acceptance as satisfactory; ""he bought i..."
approbate%2:32:00::	event	approval%1:04:02::	approve or sanction officially	"the formal act of approving; ""he gave th..."
approve%2:32:00::	event	approval%1:04:02::	"give sanction to; ""I approve of his educ..."	"the formal act of approving; ""he gave th..."
arouse%2:37:00::	event	arousal%1:04:00::	"call forth (emotions, feelings, and resp..."	"the act of arousing; ""the purpose of art..."
arouse%2:29:01::	event	arousal%1:09:00::	"cause to become awake or conscious; ""He ..."	awakening from sleep
arouse%2:29:05::	event	arousal%1:09:00::	"stop sleeping; ""She woke up to the sound..."	awakening from sleep
arrive%2:38:00::	event	arrival%1:04:01::	reach a destination; arrive by movement ...	the act of arriving at a certain place; ...
avow%2:32:00::	event	avowal%1:10:00::	to declare or affirm solemnly and formal...	a statement asserting the existence or t...
bestow%2:40:00::	event	bestowal%1:04:00::	"present; ""The university conferred a deg..."	the act of conferring an honor or presen...
betray%2:41:00::	event	betrayal%1:04:00::	"deliver to an enemy by treachery; ""Judas..."	an act of deliberate betrayal
betroth%2:32:00::	event	betrothal%1:04:00::	give to in marriage	the act of becoming betrothed or engaged...
bury%2:41:00::	event	burial%1:11:00::	"place in a grave or tomb; ""Stalin was bu..."	the ritual placing of a corpse in a grav...
bury%2:35:00::	event	burial%1:04:00::	place in the earth and cover with soil; ...	concealing something under the ground
carouse%2:41:00::	event	carousal%1:04:00::	"engage in boisterous, drunken merrymakin..."	revelry in drinking; a merry drinking pa...
commit%2:41:00::	event	committal%1:04:01::	"perform an act, usually with a negative ..."	the act of committing a crime
commit%2:40:02::	event	committal%1:04:00::	cause to be admitted; of persons to an i...	the official act of consigning a person ...
confer%2:40:00::	event	conferral%1:04:00::	"present; ""The university conferred a deg..."	the act of conferring an honor or presen...
constitutionalize%2:38:00::	event	constitutional%1:04:00::	take a walk for one's health or to aid d...	a regular walk taken as a form of exerci...
court-martial%2:41:01::	event	court-martial%1:04:00::	subject to trial by court-martial	a trial that is conducted by a military ...
deal%2:40:01::	event	deal%1:04:01::	"administer or bestow, as in small portio..."	the act of apportioning or distributing ...
deal%2:40:07::	event	deal%1:04:01::	give out as one's portion or share	the act of apportioning or distributing ...
deal%2:40:06::	event	deal%1:04:00::	"give (a specific card) to a player; ""He ..."	"the act of distributing playing cards; ""..."
deal%2:40:02::	event	deal%1:04:00::	distribute cards to the players in a gam...	"the act of distributing playing cards; ""..."
deal%2:40:11::	event	deal%1:04:02::	"sell; ""deal hashish"""	a particular instance of buying or selli...
deal%2:40:00::	event	deal%1:04:02::	do business; offer for sale as for one's...	a particular instance of buying or selli...
defer%2:42:00::	event	deferral%1:04:01::	"hold back to a later time; ""let's postpo..."	act of putting off to a future time
defray%2:40:00::	event	defrayal%1:04:00::	bear the expenses of	the act of paying money
demur%2:32:02::	event	demurral%1:10:00::	enter a demurrer	(law) a formal objection to an opponent'...
deny%2:40:01::	event	denial%1:10:00::	"refuse to grant, as of a petition or req..."	the act of refusing to comply (as with a...
deny%2:40:04::	event	denial%1:04:01::	"deny oneself (something); restrain, espe..."	renunciation of your own interests in fa...
deny%2:32:05::	event	denial%1:04:00::	deny formally (an allegation of fact by ...	a defendant's answer or plea denying the...
deny%2:32:00::	event	denial%1:10:01::	"declare untrue; contradict; ""He denied t..."	the act of asserting that something alle...
devise%2:36:00::	event	devisal%1:04:00::	"come up with (an idea, plan, explanation..."	the act of devising something
disapprove%2:32:00::	event	disapproval%1:04:00::	"deem wrong or inappropriate; ""I disappro..."	the act of disapproving or condemning
disavow%2:32:00::	event	disavowal%1:10:00::	refuse to acknowledge; disclaim knowledg...	denial of any connection with or knowled...
disburse%2:40:00::	event	disbursal%1:04:00::	"expend, as from a fund"	the act of spending or disbursing money
dismiss%2:41:00::	event	dismissal%1:04:00::	terminate the employment of; discharge f...	the termination of someone's employment ...
dismiss%2:32:01::	event	dismissal%1:10:01::	end one's encounter with somebody by cau...	permission to go; the sending away of so...
