word1	relation	word2
aircraft%1:06:00::	action	fly%2:38:00::
aircraft%1:06:00::	action	transport%2:38:00::
aircraft%1:06:00::	theme	passenger%1:18:00::
aircraft%1:06:00::	theme	cargo%1:06:00::
aircraft%1:06:00::	agent	pilot%1:18:00::
		
alarm%1:06:00::	action	alarm%2:32:00::
alarm%1:06:00::	action	alert%2:32:00::
alarm%1:06:00::	action	ring%2:39:00::
alarm%1:06:00::	cause	danger%1:26:00::
alarm%1:06:00::	result	alarm%1:10:00::
alarm%1:06:00::	result	alert%1:26:00::
		
alarm%1:06:01::	action	clock%2:30:00::
alarm%1:06:01::	action	time%2:30:00::
alarm%1:06:01::	action	awaken%2:29:00::
alarm%1:06:01::	action	wake%2:29:02::
alarm%1:06:01::	action	waken%2:29:01::
alarm%1:06:01::	undergoer	sleeper%1:18:00::
alarm%1:06:01::	theme	time%1:03:00::
alarm%1:06:01::	result	clock_time%1:28:00::
		
album%1:10:00::	action	play%2:36:11::
album%1:10:00::	theme	recording%1:06:00::
album%1:10:00::	result	music%1:09:01::
album%1:10:00::	instrument	phonograph%1:06:01::
album%1:10:00::	beneficiary	listener%1:18:00::
		
ambulance%1:06:00::	action	transport%2:35:00::
ambulance%1:06:00::	theme	patient%1:18:00::
ambulance%1:06:00::	cause	injury%1:26:00::
ambulance%1:06:00::	destination	hospital%1:06:00::
		
apparatus%1:06:00::	action	serve%2:42:03::
apparatus%1:06:00::	action	perform%2:36:00::
apparatus%1:06:00::	result	work%1:04:00::
		
aquarium%1:06:00::	action	house%2:42:02::
aquarium%1:06:00::	undergoer	water%1:13:00::
aquarium%1:06:00::	beneficiary	fish%1:05:00::
		
armchair%1:06:00::	action	seat%2:42:00::
armchair%1:06:00::	beneficiary	sitter%1:18:01::
		
arrow%1:06:00::	action	pierce%2:35:00::
arrow%1:06:00::	action	hit%2:35:01::
arrow%1:06:00::	action	shoot%2:33:01::
arrow%1:06:00::	instrument	bow%1:06:01::
arrow%1:06:00::	undergoer	target%1:10:00::
arrow%1:06:00::	result	wound%1:26:00::
		
		
suitcase%1:06:00::	action	contain%2:42:13::
suitcase%1:06:00::	action	transport%2:35:00::
suitcase%1:06:00::	theme	belongings%1:21:00::
suitcase%1:06:00::	theme	clothes%1:06:00::
suitcase%1:06:00::	beneficiary	traveller%1:18:00::
suitcase%1:06:00::	cause	travel%1:04:00::
		
purse%1:06:00::	action	contain%2:42:13::
purse%1:06:00::	theme	belongings%1:21:00::
purse%1:06:00::	theme	money%1:21:00::
purse%1:06:00::	beneficiary	wearer%1:18:00::
		
ball%1:06:01::	action	hit%2:35:03::
ball%1:06:01::	action	throw%2:35:00::
ball%1:06:01::	action	kick%2:35:01::
ball%1:06:01::	action	catch%2:35:00::
ball%1:06:01::	agent	player%1:18:01::
ball%1:06:01::	location	game%1:04:00::
ball%1:06:01::	location	sport%1:04:00::
		
bar%1:06:00::	action	block%2:35:00::
bar%1:06:00::	location	opening%1:17:00::
		
bar%1:06:00::	action	hit%2:35:00::
bar%1:06:00::	agent	attacker%1:18:00::
bar%1:06:00::	undergoer	opponent%1:18:00::
bar%1:06:00::	result	injury%1:26:00::
		
bar%1:06:09::	action	support%2:35:00::
bar%1:06:09::	action	perform%2:36:01::
bar%1:06:09::	agent	gymnast%1:18:00::
bar%1:06:09::	theme	routine%1:10:01::
bar%1:06:09::	location	gym%1:06:00::
		
barrel%1:06:00::	action	hold%2:42:13::
barrel%1:06:00::	theme	content%1:14:00::
		
stand%1:06:00::	action	support%2:35:00::
stand%1:06:00::	theme	object%1:03:00::
		
basket%1:06:00::	action	hold%2:42:13::
basket%1:06:00::	theme	content%1:14:00::
basket%1:06:00::	theme	solid%1:27:04::
		
tub%1:06:01::	action	bathe%2:29:01::
tub%1:06:01::	action	soak%2:35:01::
tub%1:06:01::	agent	bather%1:18:01::
tub%1:06:01::	location	bathroom%1:06:00::
tub%1:06:01::	result	cleanness%1:26:00::
tub%1:06:01::	instrument	water%1:13:00::
		
battery%1:06:00::	action	power%2:34:00::
battery%1:06:00::	result	electricity%1:19:01::
		
beam%1:06:00::	action	build%2:36:00::
beam%1:06:00::	agent	worker%1:18:00::
beam%1:06:00::	result	construction%1:06:00::
beam%1:06:00::	instrument	tool%1:06:00::
		
bed%1:06:00::	action	sleep%2:29:00::
bed%1:06:00::	agent	sleeper%1:18:00::
bed%1:06:00::	location	bedroom%1:06:00::
bed%1:06:00::	cause	sleepiness%1:26:00::
bed%1:06:00::	result	sleep%1:26:00::
		
bed%1:06:00::	action	rest%2:32:00::
bed%1:06:00::	agent	rester%1:18:00::
bed%1:06:00::	location	bedroom%1:06:00::
bed%1:06:00::	cause	tiredness%1:26:00::
bed%1:06:00::	result	rest%1:04:00::
		
bed%1:06:00::	action	rest%2:32:00::
bed%1:06:00::	agent	rester%1:18:00::
bed%1:06:00::	location	bedroom%1:06:00::
bed%1:06:00::	cause	tiredness%1:26:00::
bed%1:06:00::	result	rest%1:04:00::
		
bell%1:06:02::	action	ring%2:39:01::
bell%1:06:02::	action	push%2:38:00::
bell%1:06:02::	agent	visitor%1:18:00::
bell%1:06:02::	location	door%1:06:00::
bell%1:06:02::	destination	host%1:18:02::
		
bench%1:06:00::	action	sit%2:35:00::
bench%1:06:00::	agent	occupant%1:18:00::
		
workbench%1:06:00::	action	work%2:41:02::
workbench%1:06:00::	agent	worker%1:18:00::
workbench%1:06:00::	location	workroom%1:06:00::
		
bike%1:06:02::	action	ride%2:38:00::
bike%1:06:02::	action	transport%2:38:00::
bike%1:06:02::	agent	rider%1:18:02::
bike%1:06:02::	location	outdoors%1:15:00::
		
bin%1:06:00::	action	hold%2:42:13::
bin%1:06:00::	action	store%2:40:02::
bin%1:06:00::	theme	content%1:14:00::
		
blade%1:06:00::	action	cut%2:35:00::
		
boat%1:06:00::	action	sail%2:38:03::
boat%1:06:00::	action	boat%2:38:00::
boat%1:06:00::	agent	sailor%1:18:00::
boat%1:06:00::	agent	boater%1:18:00::
boat%1:06:00::	destination	shore%1:17:00::
boat%1:06:00::	destination	land%1:17:00::
boat%1:06:00::	source	shore%1:17:00::
boat%1:06:00::	source	land%1:17:00::
boat%1:06:00::	location	water%1:17:00::
		
boat%1:06:00::	action	transport%2:38:00::
boat%1:06:00::	agent	sailor%1:18:00::
boat%1:06:00::	agent	boater%1:18:00::
boat%1:06:00::	theme	passenger%1:18:00::
boat%1:06:00::	destination	shore%1:17:00::
boat%1:06:00::	destination	land%1:17:00::
boat%1:06:00::	source	shore%1:17:00::
boat%1:06:00::	source	land%1:17:00::
boat%1:06:00::	location	water%1:17:00::
		
bolt%1:06:00::	action	fasten%2:35:01::
bolt%1:06:00::	instrument	wrench%1:06:00::
		
bomb%1:06:00::	action	destroy%2:36:00::
bomb%1:06:00::	action	explode%2:30:01::
bomb%1:06:00::	agent	bomber%1:18:00::
bomb%1:06:00::	undergoer	target%1:15:00::
bomb%1:06:00::	cause	conflict%1:04:00::
		
bomber%1:06:00::	action	bomb%2:33:00::
bomber%1:06:00::	agent	pilot%1:18:00::
bomber%1:06:00::	undergoer	target%1:15:00::
bomber%1:06:00::	theme	bomb%1:06:00::
bomber%1:06:00::	location	air%1:15:00::
		
hamper%1:06:01::	action	confine%2:35:01::
hamper%1:06:01::	agent	captor%1:18:00::
hamper%1:06:01::	theme	captive%1:18:00::
		
bottle%1:06:00::	action	hold%2:42:13::
bottle%1:06:00::	theme	liquid%1:27:04::
		
freighter%1:06:00::	action	transport%2:38:00::
freighter%1:06:00::	agent	merchant%1:18:00::
freighter%1:06:00::	theme	cargo%1:06:00::
freighter%1:06:00::	destination	land%1:17:00::
freighter%1:06:00::	source	land%1:17:00::
freighter%1:06:00::	location	water%1:17:00::
		
bow%1:06:01::	action	shoot%2:35:01::
bow%1:06:01::	agent	archer%1:18:00::
bow%1:06:01::	destination	target%1:10:00::
bow%1:06:01::	theme	arrow%1:06:00::
		
bowl%1:06:01::	action	hold%2:42:13::
bowl%1:06:01::	theme	object%1:03:00::
bowl%1:06:01::	theme	liquid%1:27:04::
		
box%1:06:00::	action	hold%2:42:13::
box%1:06:00::	theme	object%1:03:00::
		
brake%1:06:00::	action	slow%2:30:05::
brake%1:06:00::	action	stop%2:38:00::
brake%1:06:00::	agent	operator%1:18:00::
brake%1:06:00::	theme	vehicle%1:06:00::
		
brick%1:06:00::	action	build%2:36:00::
brick%1:06:00::	agent	maker%1:18:00::
brick%1:06:00::	result	structure%1:06:00::
		
brush%1:06:00::	action	brush%2:35:02::
		
brush%1:06:00::	action	brush%2:30:00::
brush%1:06:00::	undergoer	surface%1:15:00::
brush%1:06:00::	theme	particle%1:27:01::
		
brush%1:06:00::	action	apply%2:35:00::
brush%1:06:00::	undergoer	surface%1:15:00::
brush%1:06:00::	theme	liquid%1:27:04::
brush%1:06:00::	theme	powder%1:27:00::
		
pail%1:06:00::	action	hold%2:42:13::
pail%1:06:00::	action	carry%2:35:02::
pail%1:06:00::	theme	object%1:03:00::
pail%1:06:00::	theme	liquid%1:27:04::
		
bulb%1:06:00::	action	light%2:30:00::
bulb%1:06:00::	theme	area%1:06:00::
bulb%1:06:00::	theme	object%1:03:00::
bulb%1:06:00::	instrument	electricity%1:19:01::
		
bullet%1:06:00::	action	shoot%2:33:00::
bullet%1:06:00::	agent	shooter%1:18:00::
bullet%1:06:00::	undergoer	target%1:10:00::
bullet%1:06:00::	cause	conflict%1:04:00::
bullet%1:06:00::	result	damage%1:11:00::
bullet%1:06:00::	instrument	gun%1:06:00::
		
bundle%1:06:00::	action	carry%2:35:02::
bundle%1:06:00::	action	store%2:40:00::
bundle%1:06:00::	theme	object%1:03:00::
		
bus%1:06:00::	action	transport%2:38:00::
bus%1:06:00::	agent	driver%1:18:00::
bus%1:06:00::	theme	person%1:03:00::
bus%1:06:00::	source	bus_stop%1:15:00::
bus%1:06:00::	destination	bus_stop%1:15:00::
bus%1:06:00::	location	road%1:06:00::
		
button%1:06:00::	action	fasten%2:35:01::
button%1:06:00::	agent	person%1:03:00::
button%1:06:00::	theme	cloth%1:06:00::
button%1:06:00::	instrument	buttonhole%1:06:00::
		
button%1:06:01::	action	depress%2:35:10::
		
cabinet%1:06:00::	action	store%2:40:00::
cabinet%1:06:00::	action	display%2:39:00::
cabinet%1:06:00::	theme	object%1:03:00::
		
call%1:10:01::	action	talk%2:32:01::
call%1:10:01::	action	communicate%2:32:02::
call%1:10:01::	agent	caller%1:18:01::
